ts_code,symbol,name,enname,aliases
1503.TW,1503.TW,士电,,士電
1504.TW,1504.TW,东元,,東元
1506.TW,1506.TW,正道,,
1512.TW,1512.TW,瑞利,,
1513.TW,1513.TW,中兴电,,中興電
1514.TW,1514.TW,亚力,,亞力
1515.TW,1515.TW,力山,,
1516.TW,1516.TW,川飞,,川飛
1517.TW,1517.TW,利奇,,
1519.TW,1519.TW,华城,,華城
1521.TW,1521.TW,大亿,,大億
1522.TW,1522.TW,堤维西,,堤維西
1524.TW,1524.TW,耿鼎,,
1525.TW,1525.TW,江申,,
1526.TW,1526.TW,日驰,,日馳
1527.TW,1527.TW,钻全,,鑽全
1528.TW,1528.TW,恩德,,
1529.TW,1529.TW,乐事绿能,,樂事綠能
1530.TW,1530.TW,亚崴,,亞崴
1531.TW,1531.TW,高林股,,
1532.TW,1532.TW,勤美,,
1533.TW,1533.TW,车王电,,車王電
1535.TW,1535.TW,中宇,,
1536.TW,1536.TW,和大,,
1537.TW,1537.TW,广隆,,廣隆
1538.TW,1538.TW,正峰,,
1539.TW,1539.TW,巨庭,,
1540.TW,1540.TW,乔福,,喬福
1541.TW,1541.TW,锠泰,,錩泰
1558.TW,1558.TW,伸兴,,伸興
1560.TW,1560.TW,中砂,,
1563.TW,1563.TW,巧新,,
1565.TWO,1565.TWO,精华,,精華
1568.TW,1568.TW,仓佑,,倉佑
1569.TWO,1569.TWO,滨川,,濱川
1570.TWO,1570.TWO,力肯,,
1580.TWO,1580.TWO,新麦,,新麥
1582.TW,1582.TW,信锦,,信錦
1583.TW,1583.TW,程泰,,
1584.TWO,1584.TWO,精刚,,精剛
1586.TWO,1586.TWO,和勤,,
1587.TW,1587.TW,吉茂,,
1589.TW,1589.TW,永冠-KY,,
1590.TW,1590.TW,亚德客-KY,,亞德客-KY
1591.TWO,1591.TWO,骏吉-KY,,駿吉-KY
1593.TWO,1593.TWO,祺骅,,祺驊
1595.TWO,1595.TWO,川宝,,川寶
1597.TW,1597.TW,直得,,
1598.TW,1598.TW,岱宇,,
1599.TWO,1599.TWO,宏佳腾,,宏佳騰
1603.TW,1603.TW,华电,,華電
1604.TW,1604.TW,声宝,,聲寶
1605.TW,1605.TW,华新,,華新
1608.TW,1608.TW,华荣,,華榮
1609.TW,1609.TW,大亚,,大亞
1611.TW,1611.TW,中电,,中電
1612.TW,1612.TW,宏泰,,
1614.TW,1614.TW,三洋电,,三洋電
1615.TW,1615.TW,大山,,
1616.TW,1616.TW,亿泰,,億泰
1617.TW,1617.TW,荣星,,榮星
1618.TW,1618.TW,合机,,合機
1623.TW,1623.TW,大东电,,大東電
1626.TW,1626.TW,艾美特-KY,,
1702.TW,1702.TW,南侨,,南僑
1707.TW,1707.TW,葡萄王,,
1708.TW,1708.TW,东碱,,東鹼
1709.TW,1709.TW,和益,,
1710.TW,1710.TW,东联,,東聯
1711.TW,1711.TW,永光,,
1712.TW,1712.TW,兴农,,興農
1713.TW,1713.TW,国化,,國化
1714.TW,1714.TW,和桐,,
1717.TW,1717.TW,长兴,,長興
1718.TW,1718.TW,中纤,,中纖
1720.TW,1720.TW,生达,,生達
1721.TW,1721.TW,三晃,,
1722.TW,1722.TW,台肥,,
1723.TW,1723.TW,中碳,,
1725.TW,1725.TW,元祯,,元禎
1726.TW,1726.TW,永记,,永記
1727.TW,1727.TW,中华化,,中華化
1730.TW,1730.TW,花仙子,,
1731.TW,1731.TW,美吾华,,美吾華
1732.TW,1732.TW,毛宝,,毛寶
1733.TW,1733.TW,五鼎,,
1734.TW,1734.TW,杏辉,,杏輝
1735.TW,1735.TW,日胜化,,日勝化
1736.TW,1736.TW,乔山,,喬山
1737.TW,1737.TW,台盐,,臺鹽
1742.TWO,1742.TWO,台蜡,,台蠟
1752.TW,1752.TW,南光,,
1760.TW,1760.TW,宝龄富锦,,寶齡富錦
1762.TW,1762.TW,中化生,,
1773.TW,1773.TW,胜一,,勝一
1776.TW,1776.TW,展宇,,
1777.TWO,1777.TWO,生泰,,
1781.TWO,1781.TWO,合世,,
1783.TW,1783.TW,和康生,,
1784.TWO,1784.TWO,讯联,,訊聯
1785.TWO,1785.TWO,光洋科,,
1786.TW,1786.TW,科妍,,
1788.TWO,1788.TWO,杏昌,,
1789.TW,1789.TW,神隆,,
1795.TW,1795.TW,美时,,美時
1796.TWO,1796.TWO,金颖生技,,金穎生技
1799.TWO,1799.TWO,易威,,
1802.TW,1802.TW,台玻,,
1805.TW,1805.TW,宝徕,,寶徠
1806.TW,1806.TW,冠军,,冠軍
1808.TW,1808.TW,润隆,,潤隆
1809.TW,1809.TW,中釉,,
1810.TW,1810.TW,和成,,
1813.TWO,1813.TWO,宝利徕,,寶利徠
1815.TWO,1815.TWO,富乔,,富喬
1817.TW,1817.TW,凯撒卫,,凱撒衛
